closedAt,createdAt,number,state,title
,"2026-03-04T23:22:28Z",116,"OPEN","Redesign logo"
,"2026-03-04T16:59:17Z",115,"OPEN","Create a Widget Template"
,"2026-03-04T16:57:01Z",114,"OPEN","Create UsersView"
,"2026-03-04T16:56:41Z",113,"OPEN","Create HelpView"
,"2026-03-04T16:56:22Z",112,"OPEN","Create DashboardView"
,"2026-03-04T16:55:58Z",111,"OPEN","Create CoursesView"
,"2026-03-04T16:55:34Z",110,"OPEN","Create AnalyticsView"
,"2026-03-04T16:55:09Z",109,"OPEN","Create AccountView"
,"2026-03-04T16:53:09Z",108,"OPEN","Create a new Presentations for Monday 03/16/2026"
"2026-03-04T16:52:38Z","2026-03-04T16:52:35Z",107,"CLOSED","Create Week Five's Milestone"
,"2026-02-26T00:53:37Z",104,"OPEN","create a backend function to add/remove the defined types"
,"2026-02-26T00:52:03Z",103,"OPEN","create a script to preload the database for freash installs"
"2026-02-26T00:31:37Z","2026-02-26T00:31:34Z",102,"CLOSED","reorganize the kanban to split-up some of the relevant backend issues"
,"2026-02-26T00:19:53Z",101,"OPEN","Create a class ""card"" that will be displayed in the main frame"
"2026-02-26T00:16:15Z","2026-02-26T00:16:12Z",100,"CLOSED","Create Week Four's Milestone"
"2026-03-03T02:03:42Z","2026-02-26T00:15:40Z",99,"CLOSED","Create a new Presentations for Monday 03/02/2026"
"2026-03-03T02:01:26Z","2026-02-25T23:52:34Z",98,"CLOSED","create frames on user page"
"2026-03-04T23:41:35Z","2026-02-25T23:51:11Z",97,"CLOSED","create a list of widgets for side bar"
"2026-02-25T23:37:58Z","2026-02-25T22:58:57Z",96,"CLOSED","back end mapping for llm settings"
"2026-03-04T23:41:26Z","2026-02-25T22:21:18Z",95,"CLOSED","protect backend from cross site scripting"
"2026-02-24T01:09:41Z","2026-02-24T01:09:38Z",91,"CLOSED","restructure the active branches' folder names to push into dev"
"2026-02-24T00:16:32Z","2026-02-24T00:16:28Z",90,"CLOSED","Fix closed issues ending up into the correct column"
"2026-02-26T00:00:11Z","2026-02-19T02:09:02Z",88,"CLOSED","write documentation on how to use the burndown script"
"2026-02-25T23:35:29Z","2026-02-19T00:55:44Z",87,"CLOSED","Fix window"
"2026-02-24T00:53:20Z","2026-02-19T00:25:48Z",85,"CLOSED","merge api-gen branch into dev"
"2026-02-24T00:53:32Z","2026-02-19T00:25:35Z",84,"CLOSED","merge flask-backend branch into dev"
"2026-02-24T00:53:16Z","2026-02-19T00:25:21Z",83,"CLOSED","merge interface branch into dev"
"2026-02-24T00:53:06Z","2026-02-19T00:25:06Z",82,"CLOSED","merge burndown-chart branch into dev"
"2026-02-25T23:35:38Z","2026-02-19T00:24:49Z",81,"CLOSED","merge mongita branch into dev"
"2026-02-23T23:33:03Z","2026-02-19T00:20:30Z",80,"CLOSED","create a burndown branch"
"2026-02-25T22:45:15Z","2026-02-18T23:52:09Z",79,"CLOSED","key gen api converted to python"
"2026-02-24T00:11:31Z","2026-02-18T23:49:45Z",78,"CLOSED","milestone burndown chart"
,"2026-02-18T23:48:51Z",77,"OPEN","talk to Branson to get the kent oath return information"
"2026-03-04T23:41:13Z","2026-02-18T23:46:59Z",76,"CLOSED","write documentation on how to setup and run the data base with the backend"
"2026-03-04T23:31:33Z","2026-02-18T23:46:37Z",75,"CLOSED","write documentation on how to setup and run the data base"
,"2026-02-18T23:44:51Z",74,"OPEN","write documentation on how to run the backend and front end together"
"2026-02-25T22:45:08Z","2026-02-18T23:44:21Z",73,"CLOSED","write documentation on how to run the backend"
"2026-02-24T00:11:09Z","2026-02-18T23:43:38Z",72,"CLOSED","create a new Presentations for Monday 02/23/2026"
"2026-02-23T23:32:26Z","2026-02-18T23:43:01Z",71,"CLOSED","Create Week Three's Milestone"
"2026-03-03T02:02:26Z","2026-02-18T23:41:35Z",70,"CLOSED","develop front end"
"2026-02-25T22:44:57Z","2026-02-18T23:35:01Z",69,"CLOSED","setup Mongita environment"
"2026-02-23T23:26:59Z","2026-02-18T23:32:00Z",68,"CLOSED","Create mongitadb branch"
"2026-02-24T00:56:34Z","2026-02-18T16:04:05Z",67,"CLOSED","Get dev up to date with frontend+backend"
,"2026-02-12T02:33:57Z",65,"OPEN","Create a Light/Dark Mode"
"2026-02-16T02:59:29Z","2026-02-12T02:33:28Z",64,"CLOSED","Create a admin button to create a class"
"2026-03-03T02:01:44Z","2026-02-12T02:32:51Z",63,"CLOSED","Logo for Rocky"
"2026-02-16T03:00:31Z","2026-02-12T02:32:15Z",62,"CLOSED","List of Admins, Instructors, and Students"
"2026-02-16T02:52:10Z","2026-02-12T02:29:28Z",61,"CLOSED","Figure out how we are going to store dialogue"
,"2026-02-12T02:28:35Z",60,"OPEN","Admin/Instructor Edit Students Usage Limits"
"2026-02-16T02:53:08Z","2026-02-12T02:27:40Z",59,"CLOSED","Create a Limit for Students"
,"2026-02-12T02:27:17Z",58,"OPEN","Clear History on Student Keys"
"2026-03-04T23:40:42Z","2026-02-12T02:26:42Z",57,"CLOSED","create list of Server Monitoring Tools"
"2026-02-25T23:36:12Z","2026-02-12T02:26:09Z",56,"CLOSED","Find a Color Palette"
,"2026-02-12T02:24:32Z",55,"OPEN","Create a Sidebar with Saved Dialogues"
"2026-03-04T23:40:19Z","2026-02-12T02:23:56Z",54,"CLOSED","Getting the Shema of Analytical Data Display"
,"2026-02-12T02:23:06Z",53,"OPEN","Setup Github Actions for Auto Deployment"
,"2026-02-12T02:22:00Z",52,"OPEN","Instructor Making Group of Students"
"2026-03-04T23:39:37Z","2026-02-12T02:21:35Z",51,"CLOSED","Design Instructor Interface"
,"2026-02-12T02:20:55Z",50,"OPEN","Get List of Things to Put in Settings"
,"2026-02-12T02:20:16Z",49,"OPEN","Expiration for Student Keys"
"2026-02-24T00:19:25Z","2026-02-12T02:19:44Z",48,"CLOSED","Create a Playground for MongoDB"
,"2026-02-12T02:19:12Z",47,"OPEN","Instruction Page on How to Use"
,"2026-02-12T02:18:42Z",46,"OPEN","Warnings and Terms of Use"
"2026-03-04T23:36:16Z","2026-02-12T02:18:11Z",45,"CLOSED","Figure out the tabs and location for users"
,"2026-02-12T02:17:27Z",44,"OPEN","List Permissions for Students"
"2026-03-04T23:35:47Z","2026-02-12T02:17:03Z",43,"CLOSED","Design Student Interface"
"2026-03-04T23:35:39Z","2026-02-12T02:15:30Z",42,"CLOSED","Design Administrator Interface"
,"2026-02-12T02:14:43Z",41,"OPEN","Make Website Responsive"
,"2026-02-12T02:13:49Z",40,"OPEN","Github README"
"2026-03-04T23:35:14Z","2026-02-12T02:13:20Z",39,"CLOSED","Create a element that Generate the Key on the frontend"
"2026-03-04T23:34:52Z","2026-02-12T02:12:30Z",38,"CLOSED","Create Class Page Setup"
"2026-02-25T23:38:38Z","2026-02-12T02:11:19Z",37,"CLOSED","Create Website Structure in Figma"
,"2026-02-12T02:06:15Z",36,"OPEN","List of Instructor Permissions"
"2026-02-25T23:49:52Z","2026-02-12T01:44:08Z",35,"CLOSED","Set up database structure"
,"2026-02-12T01:43:15Z",34,"OPEN","Get access to an account for the server"
"2026-03-04T23:33:50Z","2026-02-12T01:42:09Z",33,"CLOSED","Store Hashed API Key"
"2026-03-04T16:57:55Z","2026-02-12T01:40:53Z",32,"CLOSED","Get the Kent Oauth Return Information"
"2026-02-17T00:21:19Z","2026-02-12T01:14:20Z",31,"CLOSED","Fix repo pull request"
"2026-02-17T00:21:12Z","2026-02-12T01:10:54Z",30,"CLOSED","Create Week two's milestone"
"2026-02-17T00:21:32Z","2026-02-12T01:10:09Z",29,"CLOSED","Add all tasks from week two's meeting"
"2026-02-17T00:20:39Z","2026-02-12T00:39:15Z",28,"CLOSED","Presentations for Monday 02/16/2026"
"2026-02-17T00:22:37Z","2026-02-12T00:33:32Z",27,"CLOSED","Create a login page schema"
"2026-02-17T00:21:04Z","2026-02-12T00:29:58Z",26,"CLOSED","List of Admin Permissions"
"2026-02-25T21:38:03Z","2026-02-12T00:28:00Z",25,"CLOSED","Create a flask server"
"2026-02-17T00:21:41Z","2026-02-10T00:52:52Z",24,"CLOSED","Create a burn down chart template"
"2026-02-12T00:53:08Z","2026-02-10T00:08:47Z",22,"CLOSED","prototype admin permitions and access"
"2026-02-16T14:50:17Z","2026-02-10T00:07:25Z",21,"CLOSED","prototype main gui page"
"2026-02-12T00:51:55Z","2026-02-10T00:05:54Z",20,"CLOSED","prototype login page"
"2026-02-17T00:21:26Z","2026-02-07T03:48:00Z",19,"CLOSED","Create a SvelteKit"
"2026-02-16T22:15:15Z","2026-02-05T22:50:22Z",11,"CLOSED","Obtain a location to run our front end and backend"
"2026-02-24T00:38:26Z","2026-02-05T22:27:30Z",10,"CLOSED","Key generation algorithm"
,"2026-02-05T16:20:07Z",9,"OPEN","Fill the pruduction repository with a working copy"
"2026-02-10T00:28:04Z","2026-02-05T16:16:04Z",8,"CLOSED","Build the repository permission"
"2026-02-05T16:17:51Z","2026-02-05T16:14:47Z",7,"CLOSED","Build the dev repository with sveltekit"
